CreatedDate,CreatedTime,Symbol,Type,Volume,Price,Side,CallPut,Strike,Spot,Premium,ExpirationDate,Color,ImpliedVolatility,Dte,ER,StockEtf,Sector,Uoa,Weekly,MktCap,OI
6/22/2021,09:33:25,AMD,SWEEP,502,0.55,A,CALL,85,83.04,27605,6/25/2021,WHITE,0.43,3,F,STOCK,Information Technology,F,T,1.00E+11,19658
6/22/2021,09:33:30,CLOV,BLOCK,160,0.85,A,CALL,14,12.3778,13600,07-02-2021,WHITE,1.75,10,F,STOCK,Health Care,F,F,4587000000,698
6/22/2021,09:33:32,MU,SWEEP,203,0.9,A,CALL,78.5,77.9299,18261,6/25/2021,MAGENTA,0.41,3,F,STOCK,Information Technology,F,T,86427000000,1854
6/22/2021,09:33:49,FB,SWEEP,144,5.8,A,CALL,330,333.9984,83520,6/25/2021,WHITE,0.28,3,F,STOCK,Communication Services,F,T,9.42E+11,2525
6/22/2021,09:33:52,AMAT,BLOCK,390,0.71,A,PUT,129,132.04,27690,6/25/2021,WHITE,0.39,3,F,STOCK,Information Technology,F,T,1.22E+11,644
6/22/2021,09:33:53,AMC,BLOCK,181,1.7,A,CALL,72,52.9995,30770,6/25/2021,WHITE,3.48,3,F,STOCK,Communication Services,F,T,27959000000,2102
6/22/2021,09:34:00,CCL,BLOCK,241,0.79,A,PUT,28,28.45,19039,07-02-2021,WHITE,0.54,10,F,STOCK,Communication Services,F,F,15319000000,4149
6/22/2021,09:34:00,FDX,SWEEP,150,1.691,AA,CALL,330,296.23,25370,07-09-2021,YELLOW,0.42,17,T,STOCK,Industrials,F,F,77787000000,35
6/22/2021,09:34:04,SFM,BLOCK,700,2.4,A,PUT,27.5,27.92,168000,1/21/2022,WHITE,0.35,213,F,STOCK,Consumer Discretionary,F,F,3323000000,1247
6/22/2021,09:34:09,AAPL,SWEEP,166,1.52,A,CALL,132,132.54,25226,6/25/2021,WHITE,0.25,3,F,STOCK,Information Technology,F,T,2.21E+12,30163
6/22/2021,09:34:12,PLUG,SWEEP,240,1.406,AA,PUT,31,30.48,33754,6/25/2021,WHITE,1.02,3,T,STOCK,Industrials,F,T,16964000000,551
6/22/2021,09:34:15,MU,BLOCK,224,0.94,A,CALL,78.5,78.0175,21056,6/25/2021,MAGENTA,0.41,3,F,STOCK,Information Technology,F,T,86427000000,1854
6/22/2021,09:34:15,AMD,SWEEP,499,0.541,AA,CALL,85,83.0799,27015,6/25/2021,WHITE,0.42,3,F,STOCK,Information Technology,F,T,1.00E+11,19658
6/22/2021,09:34:16,SFM,BLOCK,250,2.4,A,PUT,27.5,27.88,60000,1/21/2022,WHITE,0.35,213,F,STOCK,Consumer Discretionary,F,F,3323000000,1247
6/22/2021,09:34:18,FB,BLOCK,151,6.1,A,CALL,330,334.4,92103,6/25/2021,WHITE,0.28,3,F,STOCK,Communication Services,F,T,9.42E+11,2525
6/22/2021,09:34:24,F,BLOCK,423,0.36,A,CALL,15,14.955,15228,07-02-2021,WHITE,0.38,10,F,STOCK,Consumer Discretionary,F,F,58996000000,11137
6/22/2021,09:34:31,ABBV,SWEEP,325,0.6,A,PUT,110,114.2287,19500,07-02-2021,WHITE,0.28,10,F,STOCK,Health Care,F,F,2.03E+11,6754
6/22/2021,09:34:33,AXP,BLOCK,198,1.5,A,PUT,162.5,163.08,29700,6/25/2021,WHITE,0.31,3,F,STOCK,Financials,F,T,1.32E+11,1235
6/22/2021,09:34:37,GME,SWEEP,398,0.75,A,PUT,155,213.98,29850,6/25/2021,WHITE,2.17,3,F,STOCK,Consumer Discretionary,F,T,14390000000,736
6/22/2021,09:34:38,ABBV,SWEEP,323,0.623,AA,PUT,110,114.2287,20135,07-02-2021,WHITE,0.29,10,F,STOCK,Health Care,F,F,2.03E+11,6754
6/22/2021,09:34:44,SFM,BLOCK,849,2.4,A,PUT,27.5,27.88,203760,1/21/2022,MAGENTA,0.35,213,F,STOCK,Consumer Discretionary,F,F,3323000000,1247
6/22/2021,09:34:46,WISH,SWEEP,190,0.8,A,CALL,15,13.335,15206,6/25/2021,WHITE,2.91,3,F,STOCK,Consumer Discretionary,F,T,7916000000,20624
6/22/2021,09:34:53,ZIM,BLOCK,210,3.6,A,CALL,55,44.772,75600,10/15/2021,WHITE,0.67,115,F,STOCK,Industrials,F,F,5004000000,530
